date,1. open,5. volume,2. high,4. close,3. low
2000-06-16,9.06,115800.0,9.25,9.12,9.0
2000-06-19,9.12,302800.0,9.25,9.0,9.0
2000-06-20,9.03,261600.0,9.81,9.38,7.88
2000-06-21,10.0,520400.0,11.12,11.0,9.62
2000-06-22,11.06,190600.0,11.12,9.88,9.53
2000-06-23,10.19,136600.0,10.62,10.38,10.0
2000-06-26,10.5,101800.0,10.62,10.0,9.75
2000-06-27,10.0,136800.0,10.44,9.5,9.0
2000-06-28,9.62,184000.0,9.88,9.62,9.12
2000-06-29,9.88,185400.0,9.88,9.0,9.0
2000-06-30,9.31,191000.0,9.62,9.44,9.12
2000-07-03,9.75,32000.0,9.75,9.62,9.5
2000-07-05,9.75,138200.0,10.0,10.0,9.5
2000-07-06,10.0,129800.0,10.06,9.75,9.44
2000-07-07,10.03,793600.0,11.62,10.25,9.56
2000-07-10,11.06,629000.0,13.25,12.56,10.44
2000-07-11,13.56,1337000.0,14.25,12.75,11.88
2000-07-12,13.97,1094600.0,15.44,15.0,12.69
2000-07-13,18.0,1220200.0,18.12,16.75,16.12
2000-07-14,17.62,563800.0,17.75,15.5,14.88
2000-07-17,16.0,184400.0,16.12,15.62,15.25
2000-07-18,15.69,134200.0,15.94,14.5,14.38
2000-07-19,14.38,176200.0,14.5,14.0,13.12
2000-07-20,13.81,263200.0,16.62,15.88,13.62
2000-07-21,15.88,190600.0,17.12,17.12,15.62
2000-07-24,17.0,186200.0,17.75,16.75,16.06
2000-07-25,16.88,96600.0,17.25,16.12,15.5
2000-07-26,16.12,196400.0,17.5,17.38,14.12
2000-07-27,16.75,223200.0,19.0,17.12,16.5
2000-07-28,17.12,151400.0,17.19,16.25,15.5
2000-07-31,16.0,319600.0,19.06,18.88,14.88
2000-08-01,17.94,99200.0,18.12,17.44,17.38
2000-08-02,17.5,66200.0,18.19,17.06,17.0
2000-08-03,17.0,49000.0,18.0,17.56,16.5
2000-08-04,18.0,81400.0,18.06,17.06,16.88
2000-08-07,17.0,116000.0,17.38,16.0,15.5
2000-08-08,16.75,33000.0,16.75,15.75,15.5
2000-08-09,15.72,78800.0,15.94,14.69,14.5
2000-08-10,14.75,50200.0,15.62,14.75,14.62
2000-08-11,14.31,86200.0,14.75,14.0,13.19
2000-08-14,14.66,37200.0,14.66,14.0,14.0
2000-08-15,13.94,137000.0,14.0,12.62,12.62
2000-08-16,12.75,54000.0,14.19,13.69,12.75
2000-08-17,14.0,119400.0,14.5,14.5,13.62
2000-08-18,14.53,25800.0,14.62,14.0,14.0
2000-08-21,13.91,16400.0,13.94,13.56,13.25
2000-08-22,13.25,17800.0,13.56,13.25,13.12
2000-08-23,13.0,42400.0,13.12,13.06,12.5
2000-08-24,12.88,49200.0,13.0,12.88,12.5
2000-08-25,12.78,144200.0,15.12,15.12,12.5
2000-08-28,15.09,41000.0,15.12,14.38,14.12
2000-08-29,15.31,26800.0,15.38,14.38,14.12
2000-08-30,14.53,17400.0,15.12,15.0,14.53
2000-08-31,15.25,42600.0,15.25,14.5,14.0
2000-09-01,14.53,86200.0,14.88,13.88,13.88
2000-09-05,14.0,77400.0,14.28,13.94,13.5
2000-09-06,13.88,71000.0,14.0,13.75,13.5
2000-09-07,13.75,48200.0,14.0,13.88,13.5
2000-09-08,13.94,62400.0,14.44,14.0,13.75
2000-09-11,14.06,33400.0,14.19,14.19,13.81
2000-09-12,14.31,77800.0,14.94,14.94,14.25
2000-09-13,14.88,36800.0,14.88,14.06,14.0
2000-09-14,14.5,46000.0,14.75,14.56,14.0
2000-09-15,14.22,59400.0,14.56,13.5,13.25
2000-09-18,13.75,47400.0,14.0,13.0,12.5
2000-09-19,12.75,79600.0,13.0,12.75,12.75
2000-09-20,12.88,86200.0,13.0,11.62,11.62
2000-09-21,11.62,83200.0,12.25,11.0,10.5
2000-09-22,10.78,28200.0,12.0,11.94,10.62
2000-09-25,12.0,60800.0,13.38,11.88,11.75
2000-09-26,11.94,18400.0,12.0,11.88,11.75
2000-09-27,11.88,53000.0,12.25,11.62,11.5
2000-09-28,12.25,180400.0,12.25,11.75,11.75
2000-09-29,11.5,125800.0,12.25,11.75,11.44
2000-10-02,11.75,184600.0,12.25,11.81,11.62
2000-10-03,12.5,75800.0,12.5,11.62,11.56
2000-10-04,11.56,31800.0,11.62,11.5,11.0
2000-10-05,11.5,74200.0,11.62,11.06,11.06
2000-10-06,11.31,51200.0,11.5,10.38,10.31
2000-10-09,10.5,98200.0,10.75,10.12,10.0
2000-10-10,10.08,121400.0,10.25,9.44,9.44
2000-10-11,9.44,24600.0,10.0,9.75,9.19
2000-10-12,9.86,124800.0,9.88,9.75,8.38
2000-10-13,9.7,34000.0,10.12,9.5,9.0
2000-10-16,9.62,145800.0,10.25,10.25,9.27
2000-10-17,10.25,99800.0,10.62,10.5,10.12
2000-10-18,9.89,25200.0,10.0,9.5,9.12
2000-10-19,9.88,12600.0,9.98,9.5,9.5
2000-10-20,9.62,85800.0,10.12,10.0,9.5
2000-10-23,10.23,46000.0,10.25,10.12,10.0
2000-10-24,10.38,32200.0,10.69,10.5,10.0
2000-10-25,10.67,68000.0,11.88,11.62,10.0
2000-10-26,11.75,99400.0,12.5,12.38,11.38
2000-10-27,13.17,160000.0,13.88,13.69,13.0
2000-10-30,13.77,346800.0,15.06,14.75,13.77
2000-10-31,15.0,43600.0,15.0,13.62,13.12
2000-11-01,13.89,21800.0,14.38,12.75,12.5
2000-11-02,13.23,22600.0,13.23,12.5,11.5
2000-11-03,12.69,26000.0,13.81,13.62,12.62
2000-11-06,13.12,93000.0,13.75,13.0,12.88
2000-11-07,13.44,28800.0,13.44,13.0,12.88
2000-11-08,12.52,15800.0,13.0,12.62,12.12
2000-11-09,12.14,12800.0,14.0,14.0,12.14
2000-11-10,13.75,45000.0,14.0,13.88,11.5
2000-11-13,14.0,35600.0,14.0,13.25,12.81
2000-11-14,13.5,22800.0,13.88,13.44,13.12
2000-11-15,13.86,29200.0,13.86,13.25,13.12
2000-11-16,13.67,77400.0,14.0,13.62,13.06
2000-11-17,13.88,69000.0,14.0,13.5,13.25
2000-11-20,13.14,11800.0,13.62,12.81,12.62
2000-11-21,12.62,39600.0,13.25,13.25,11.0
2000-11-22,12.56,61000.0,12.56,11.38,10.31
2000-11-24,11.62,34200.0,12.0,10.25,10.25
2000-11-27,11.0,136000.0,11.94,11.94,10.75
2000-11-28,12.0,26000.0,12.0,10.75,10.75
2000-11-29,10.62,60200.0,11.0,10.5,10.38
2000-11-30,10.5,73200.0,12.38,11.75,10.44
2000-12-01,11.75,34000.0,11.88,11.75,11.5
2000-12-04,11.06,14600.0,11.25,10.62,10.62
2000-12-05,10.75,44600.0,11.12,10.56,10.5
2000-12-06,10.12,121000.0,10.75,9.0,9.0
2000-12-07,8.86,109400.0,9.25,9.12,8.12
2000-12-08,9.25,39200.0,9.75,9.56,8.94
2000-12-11,7.0,711600.0,8.88,8.38,6.5
2000-12-12,8.25,813600.0,8.56,8.56,8.06
2000-12-13,8.5,503200.0,8.62,7.56,7.56
2000-12-14,7.94,237200.0,8.12,7.56,7.25
2000-12-15,7.5,129200.0,7.62,7.12,6.75
2000-12-18,7.22,410800.0,7.38,7.06,6.94
2000-12-19,7.06,387600.0,7.06,6.0,5.81
2000-12-20,5.88,699000.0,6.12,5.88,5.38
2000-12-21,5.88,639400.0,6.38,6.06,5.75
2000-12-22,6.28,170000.0,6.5,6.38,6.12
2000-12-26,6.38,308600.0,7.0,6.25,6.12
2000-12-27,6.69,127200.0,7.12,6.5,6.2
2000-12-28,6.31,503400.0,8.0,7.38,6.25
2000-12-29,7.88,373000.0,8.75,8.5,7.75
2001-01-02,8.125,52000.0,8.609,8.156,8.063
2001-01-03,8.531,119800.0,8.75,8.75,8.0
2001-01-04,8.422,82400.0,8.563,7.938,7.406
2001-01-05,7.938,57200.0,7.938,7.75,7.625
2001-01-08,7.922,189400.0,7.938,7.5,7.375
2001-01-09,7.5,118000.0,7.813,7.813,7.375
2001-01-10,7.625,386600.0,7.75,6.75,6.125
2001-01-11,6.75,618200.0,8.25,8.125,6.625
2001-01-12,8.094,151000.0,8.125,7.375,7.375
2001-01-16,7.438,50200.0,8.063,8.0,7.438
2001-01-17,8.047,363200.0,8.125,7.875,7.875
2001-01-18,8.0,401000.0,8.625,8.0,7.875
2001-01-19,8.0,75200.0,8.0,8.0,8.0
2001-01-22,8.0,444200.0,8.125,7.25,6.813
2001-01-23,7.719,374800.0,7.875,7.875,7.0
2001-01-24,7.813,458200.0,8.125,8.063,7.75
2001-01-25,8.047,46200.0,8.188,8.0,7.875
2001-01-26,8.063,74000.0,8.125,7.938,7.75
2001-01-29,8.063,179800.0,8.063,8.0,7.5
2001-01-30,8.031,324800.0,8.438,7.813,7.625
2001-01-31,7.781,450600.0,8.75,8.375,7.75
2001-02-01,8.234,335400.0,8.688,8.609,7.75
2001-02-02,8.5,211800.0,8.625,8.375,7.75
2001-02-05,8.188,139200.0,8.625,8.375,8.016
2001-02-06,8.609,124000.0,8.75,8.625,8.0
2001-02-07,8.438,76000.0,8.75,8.438,8.25
2001-02-08,8.375,250600.0,9.125,9.063,8.375
2001-02-09,8.688,805000.0,9.0,7.375,7.375
2001-02-12,7.719,320000.0,7.875,7.375,7.125
2001-02-13,7.344,371800.0,7.5,7.109,6.875
2001-02-14,7.016,260800.0,8.0,8.0,7.0
2001-02-15,7.891,34400.0,8.5,8.125,7.75
2001-02-16,7.75,41400.0,8.0,8.0,7.625
2001-02-20,8.0,497800.0,8.625,8.5,7.875
2001-02-21,8.313,316800.0,8.875,8.688,8.25
2001-02-22,8.563,194000.0,8.688,8.625,8.5
2001-02-23,8.5,60200.0,8.625,8.0,7.938
2001-02-26,8.0,12600.0,8.313,8.0,8.0
2001-02-27,8.125,45400.0,8.188,7.5,7.25
2001-02-28,7.625,67400.0,7.625,7.25,7.125
2001-03-01,7.156,150800.0,8.0,7.25,6.75
2001-03-02,7.125,169800.0,7.375,7.375,7.0
2001-03-05,7.5,277400.0,8.375,8.0,7.5
2001-03-06,8.359,85000.0,8.438,7.75,7.25
2001-03-07,7.875,18800.0,8.0,7.875,7.688
2001-03-08,7.875,20000.0,8.0,7.75,7.5
2001-03-09,7.719,35000.0,7.938,7.781,7.5
2001-03-12,7.938,50400.0,7.938,6.938,6.906
2001-03-13,6.875,94400.0,7.063,6.75,6.75
2001-03-14,6.797,47000.0,7.0,7.0,6.625
2001-03-15,7.125,78400.0,7.625,7.5,6.875
2001-03-16,7.375,57800.0,7.75,7.5,7.313
2001-03-19,7.578,29800.0,7.578,7.375,6.5
2001-03-20,7.031,43800.0,7.375,7.0,7.0
2001-03-21,7.0,64200.0,7.0,6.438,6.375
2001-03-22,5.969,141200.0,6.125,5.688,5.5
2001-03-23,5.813,52200.0,6.125,5.906,5.813
2001-03-26,6.078,40400.0,6.438,6.0,5.906
2001-03-27,6.25,38800.0,6.25,5.938,5.938
2001-03-28,5.969,51600.0,5.969,5.375,5.375
2001-03-29,5.625,56400.0,5.625,5.0,4.875
2001-03-30,4.875,45400.0,5.125,4.875,4.875
2001-04-02,4.531,98200.0,4.688,4.063,4.031
2001-04-03,4.25,119400.0,4.313,4.25,3.0
2001-04-04,4.375,22000.0,4.5,4.469,4.188
2001-04-05,4.453,56400.0,4.813,4.5,4.25
2001-04-06,4.5,22000.0,4.656,4.375,4.313
2001-04-09,4.31,90800.0,4.5,3.9,3.75
2001-04-10,3.99,178800.0,4.0,3.6,3.5
2001-04-11,3.65,228800.0,3.66,3.35,3.22
2001-04-12,3.595,72800.0,3.71,3.71,3.41
2001-04-16,3.7,26000.0,4.05,4.05,3.7
2001-04-17,4.15,208800.0,4.5,4.45,4.12
2001-04-18,5.05,125600.0,5.12,4.95,4.8
2001-04-19,4.915,30000.0,5.1,5.08,4.83
2001-04-20,5.1,22200.0,5.25,5.25,5.04
2001-04-23,5.175,74800.0,6.0,5.9,5.05
2001-04-24,5.85,64800.0,6.95,6.93,5.85
2001-04-25,6.8,72400.0,6.8,6.2,6.0
2001-04-26,6.32,112200.0,7.04,6.61,6.25
2001-04-27,7.0,78600.0,7.0,6.5,6.5
2001-04-30,6.89,69000.0,6.89,6.6,6.17
2001-05-01,6.73,144200.0,6.73,6.0,5.64
2001-05-02,6.05,228400.0,6.25,5.5,5.35
2001-05-03,6.03,245400.0,6.03,5.95,5.5
2001-05-04,5.99,39000.0,6.0,5.93,5.85
2001-05-07,6.1,62000.0,6.75,6.45,6.0
2001-05-08,6.75,91600.0,6.75,6.2,6.0
2001-05-09,6.25,1179200.0,6.25,5.15,4.79
2001-05-10,5.79,1112400.0,5.9,5.67,5.45
2001-05-11,6.41,182400.0,6.5,6.04,5.95
2001-05-14,6.145,202400.0,6.2,6.05,6.0
2001-05-15,6.25,151000.0,6.25,6.1,6.03
2001-05-16,6.1,296600.0,6.32,6.24,6.0
2001-05-17,6.275,139400.0,6.38,6.3,6.23
2001-05-18,6.19,87800.0,6.3,6.24,6.0
2001-05-21,6.295,104000.0,6.32,6.27,6.12
2001-05-22,6.205,131200.0,6.32,6.27,6.0
2001-05-23,6.31,148600.0,6.38,6.34,6.25
2001-05-24,6.335,115600.0,6.38,6.29,6.25
2001-05-25,6.27,74200.0,6.37,6.28,6.22
2001-05-29,6.29,105000.0,6.38,6.3,6.15
2001-05-30,6.09,147600.0,6.4,6.16,6.0
2001-05-31,6.275,214800.0,6.5,6.45,6.21
2001-06-01,6.45,177000.0,7.0,7.0,6.15
2001-06-04,7.015,1616000.0,8.45,8.21,6.95
2001-06-05,7.4,356600.0,8.12,8.0,7.39
2001-06-06,7.96,124400.0,8.06,7.96,7.61
