Company name,Ticker,Sector,Industry
MOQ LIMITED,MOQ,Software & Services,
1300 SMILES LIMITED,ONT,Health Care Equipment & Services,
1414 DEGREES LIMITED,14D,Capital Goods,
1ST GROUP LIMITED,1ST,Health Care Equipment & Services,
333D LIMITED,T3D,Commercial & Professional Services,
360 CAPITAL GROUP,TGP,Real Estate,
360 CAPITAL TOTAL RETURN FUND,TOT,Not Applic,
3D OIL LIMITED,TDO,Energy,
3D RESOURCES LIMITED,DDD,Materials,
3P LEARNING LIMITED..,3PL,Consumer Services,
4DS MEMORY LIMITED,4DS,Semiconductors & Semiconductor Equipment,
5G NETWORKS LIMITED,5GN,Communication Services,
88 ENERGY LIMITED,88E,Energy,
8COMMON LIMITED,8CO,Software & Services,
8I HOLDINGS LTD,8IH,Diversified Financials,
8IP EMERGING COMPANIES LIMITED,8EC,Not Applic,
8VIC HOLDINGS LIMITED,8VI,Media & Entertainment,
9 SPOKES INTERNATIONAL LIMITED,9SP,Software & Services,
99 WUXIAN LIMITED,NNW,Retailing,
A-CAP ENERGY LIMITED,ACB,Energy,
A.C.N. 004 410 833 LIMITED,ARI,Materials,
A1 INVESTMENTS & RESOURCES LTD,AYI,Diversified Financials,
A2B AUSTRALIA LIMITED,A2B,Commercial & Professional Services,
ABACUS PROPERTY GROUP,ABP,Real Estate,
ABILENE OIL AND GAS LIMITED,ABL,Energy,
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,AEG,Not Applic,
ABUNDANT PRODUCE LIMITED,ABT,"Food, Beverage & Tobacco",
ACACIA COAL LIMITED,AJC,Energy,
ACADEMIES AUSTRALASIA GROUP LIMITED,AKG,Consumer Services,
ACCELERATE RESOURCES LIMITED,AX8,Not Applic,
ACCENT GROUP LIMITED,AX1,Retailing,
ACCENT RESOURCES NL,ACS,Materials,
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ,Not Applic,
ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,ACF,Capital Goods,
ACRUX LIMITED,ACR,"Pharmaceuticals, Biotechnology & Life Sciences",
ACTINOGEN MEDICAL LIMITED,ACW,"Pharmaceuticals, Biotechnology & Life Sciences",
ACTIVEX LIMITED,AIV,Materials,
ADACEL TECHNOLOGIES LIMITED,ADA,Software & Services,
ADAIRS LIMITED,ADH,Retailing,
ADALTA LIMITED,1AD,"Pharmaceuticals, Biotechnology & Life Sciences",
ADAVALE RESOURCES LIMITED,ADD,Energy,
ADCORP AUSTRALIA LIMITED,AAU,Media & Entertainment,
ADELAIDE BRIGHTON LIMITED,ABC,Materials,
ADHERIUM LIMITED,ADR,Health Care Equipment & Services,
ADMEDUS LTD,AHZ,Health Care Equipment & Services,
ADMIRALTY RESOURCES NL.,ADY,Materials,
ADRIATIC METALS PLC,ADT,Materials,
ADSLOT LTD,ADJ,Software & Services,
ADVANCE NANOTEK LIMITED,ANO,Materials,
ADVANCED BRAKING TECHNOLOGY LTD,ABV,Automobiles & Components,
ADVANCED SHARE REGISTRY LIMITED,ASW,Diversified Financials,
ADVERITAS LIMITED,AV1,Media & Entertainment,
ADX ENERGY LTD,ADX,Energy,
AEERIS LTD,AER,Media & Entertainment,
AEON METALS LIMITED.,AML,Materials,
AERIS ENVIRONMENTAL LTD,AEI,Commercial & Professional Services,
AERIS RESOURCES LIMITED,AIS,Materials,
AFFINITY ENERGY AND HEALTH LIMITED,AEB,"Pharmaceuticals, Biotechnology & Life Sciences",
AFRICAN ENERGY RESOURCES LIMITED,AFR,Energy,
AFRICAN GOLD LTD.,A1G,Materials,
AFT CORPORATION LIMITED,AFT,Technology Hardware & Equipment,
AFT PHARMACEUTICALS LIMITED,AFP,"Pharmaceuticals, Biotechnology & Life Sciences",
AFTERPAY TOUCH GROUP LIMITED,APT,Software & Services,
AGL ENERGY LIMITED.,AGL,Utilities,
AGRICULTURAL LAND TRUST,AGJ,Real Estate,
AGRIMIN LIMITED,AMN,Materials,
AGUIA RESOURCES LIMITED,AGR,Materials,
AHALIFE HOLDINGS LIMITED,AHL,Retailing,
AIC RESOURCES LIMITED,A1C,Materials,
AIMS PROPERTY SECURITIES FUND,APW,Real Estate,
AINSWORTH GAME TECHNOLOGY LIMITED,AGI,Consumer Services,
AIR NEW ZEALAND LIMITED,AIZ,Transportation,
AIRXPANDERS INC.,AXP,Health Care Equipment & Services,
AJ LUCAS GROUP LIMITED,AJL,Capital Goods,
ALACER GOLD CORP.,AQG,Materials,
ALARA RESOURCES LIMITED,AUQ,Materials,
ALCHEMIA LIMITED,ACL,"Pharmaceuticals, Biotechnology & Life Sciences",
ALCHEMY RESOURCES LIMITED,ALY,Materials,
ALCIDION GROUP LIMITED,ALC,Health Care Equipment & Services,
ALDERAN RESOURCES LIMITED,AL8,Materials,
ALDORO RESOURCES LIMITED,ARN,Materials,
ALE PROPERTY GROUP,LEP,Real Estate,
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX,Materials,
ALICANTO MINERALS LIMITED,AQI,Materials,
ALICE QUEEN LIMITED,AQX,Energy,
ALKANE RESOURCES LIMITED,ALK,Materials,
ALLEGIANCE COAL LIMITED,AHQ,Materials,
ALLEGRA ORTHOPAEDICS LIMITED,AMT,Health Care Equipment & Services,
ALLIANCE AVIATION SERVICES LIMITED,AQZ,Transportation,
ALLIANCE MINERAL ASSETS LIMITED,A40,Materials,
ALLIANCE RESOURCES LIMITED,AGS,Materials,
ALLIGATOR ENERGY LIMITED,AGE,Energy,
ALLOY RESOURCES LIMITED,AYR,Materials,
ALPHA HPA LIMITED,A4N,Materials,
ALS LIMITED,ALQ,Commercial & Professional Services,
ALT RESOURCES LIMITED,ARS,Materials,
ALTA ZINC LIMITED,AZI,Materials,
ALTECH CHEMICALS LTD,ATC,Materials,
ALTERNATIVE INVESTMENT TRUST,AIQ,Not Applic,
ALTERRA LIMITED,1AG,Commercial & Professional Services,
ALTHEA GROUP HOLDINGS LIMITED,AGH,"Pharmaceuticals, Biotechnology & Life Sciences",
ALTIUM LIMITED,ALU,Software & Services,
ALTO METALS LIMITED,AME,Materials,
ALTOSTRATOS HOLDINGS LIMITED,ATO,Class Pend,
ALTURA MINING LIMITED,AJM,Materials,
ALUMINA LIMITED,AWC,Materials,
AMA GROUP LIMITED,AMA,Commercial & Professional Services,
AMANI GOLD LIMITED,ANL,Materials,
AMAYSIM AUSTRALIA LIMITED,AYS,Communication Services,
AMBERTECH LIMITED,AMO,Technology Hardware & Equipment,
AMBITION GROUP LIMITED,AMB,Commercial & Professional Services,
AMCIL LIMITED,AMH,Diversified Financials,
AMCOR LIMITED,AMC,Materials,
AMERICAN PACIFIC BORATE & LITHIUM LIMITED,ABR,Materials,
AMERICAN PATRIOT OIL & GAS LIMITED,AOW,Energy,
AMP LIMITED,AMP,Insurance,
AMPLIA THERAPEUTICS LIMITED,ATX,"Pharmaceuticals, Biotechnology & Life Sciences",
ANAECO LIMITED,ANQ,Commercial & Professional Services,
ANALYTICA LIMITED,ALT,Health Care Equipment & Services,
ANATARA LIFESCIENCES LTD,ANR,"Pharmaceuticals, Biotechnology & Life Sciences",
ANCHOR RESOURCES LIMITED,AHR,Materials,
ANDROMEDA METALS LIMITED,ADN,Materials,
ANEKA TAMBANG (PERSERO) TBK (PT),ATM,Materials,
ANGEL SEAFOOD HOLDINGS LTD,AS1,"Food, Beverage & Tobacco",
ANGLO AMERICAN CAPITAL PLC,AQM,Not Applic,
ANGLO AUSTRALIAN RESOURCES NL,AAR,Materials,
ANGLOGOLD ASHANTI LIMITED,AGG,Materials,
ANIMOCA BRANDS CORPORATION LIMITED,AB1,Media & Entertainment,
ANOVA METALS LIMITED,AWV,Materials,
ANSELL LIMITED,ANN,Health Care Equipment & Services,
ANSON RESOURCES LIMITED,ASN,Materials,
ANTEO DIAGNOSTICS LIMITED,ADO,"Pharmaceuticals, Biotechnology & Life Sciences",
ANTIPA MINERALS LIMITED,AZY,Materials,
ANTIPODES GLOBAL INVESTMENT COMPANY LTD,APL,Not Applic,
ANTISENSE THERAPEUTICS LIMITED,ANP,"Pharmaceuticals, Biotechnology & Life Sciences",
AP EAGERS LIMITED,APE,Retailing,
APA GROUP,APA,Utilities,
APIAM ANIMAL HEALTH LIMITED,AHX,Health Care Equipment & Services,
APN CONVENIENCE RETAIL REIT,AQR,Real Estate,
APN INDUSTRIA REIT,ADI,Real Estate,
APN PROPERTY GROUP LIMITED,APD,Diversified Financials,
APOLLO CONSOLIDATED LIMITED,AOP,Materials,
APOLLO MINERALS LIMITED,AON,Materials,
APOLLO SERIES 2010-1 TRUST,AOJ,Not Applic,
APOLLO SERIES 2013-1 TRUST,AOR,Not Applic,
APOLLO SERIES 2015-1 TRUST,AOL,Not Applic,
APOLLO SERIES 2017-2 TRUST,AO2,Not Applic,
APOLLO SERIES 2018-1 TRUST,AO3,Not Applic,
APOLLO TOURISM & LEISURE LTD,ATL,Automobiles & Components,
APPEN LIMITED,APX,Software & Services,
APPLYDIRECT LIMITED,AD1,Media & Entertainment,
AQUIS ENTERTAINMENT LIMITED,AQS,Consumer Services,
ARAFURA RESOURCES LIMITED,ARU,Materials,
ARB CORPORATION LIMITED.,ARB,Automobiles & Components,
ARC EXPLORATION LIMITED,ARX,Materials,
ARCHER EXPLORATION LIMITED,AXE,Materials,
ARCHTIS LIMITED,AR9,Software & Services,
ARDEA RESOURCES LIMITED,ARL,Materials,
ARDENT LEISURE GROUP LIMITED,ALG,Consumer Services,
ARDIDEN LTD,ADV,Materials,
ARENA REIT.,ARF,Real Estate,
ARGENT MINERALS LIMITED,ARD,Materials,
ARGO EXPLORATION LIMITED,AXT,Materials,
ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,ALI,Diversified Financials,
ARGO INVESTMENTS LIMITED,ARG,Not Applic,
ARGONAUT RESOURCES NL,ARE,Materials,
ARGOSY MINERALS LIMITED,AGY,Materials,
ARIADNE AUSTRALIA LIMITED,ARA,Commercial & Professional Services,
ARISTOCRAT LEISURE LIMITED,ALL,Consumer Services,
ARK MINES LIMITED,AHK,Materials,
ARMOUR ENERGY LIMITED,AJQ,Energy,
AROWANA INTERNATIONAL LIMITED,AWN,Capital Goods,
ARQ GROUP LIMITED,ARQ,Software & Services,
ARROW MINERALS LTD,AMD,Materials,
ARTEMIS RESOURCES LIMITED,ARV,Materials,
ARUMA RESOURCES LIMITED,AAJ,Materials,
ASALEO CARE LIMITED,AHY,Household & Personal Products,
ASAPLUS RESOURCES LIMITED,AJY,Materials,
ASF GROUP LIMITED,AFA,Diversified Financials,
ASHLEY SERVICES GROUP LIMITED,ASH,Commercial & Professional Services,
ASIAN AMERICAN MEDICAL GROUP LIMITED,AJJ,Health Care Equipment & Services,
ASIAN DEVELOPMENT BANK,ATB,Not Applic,
ASPEN GROUP,APZ,Real Estate,
ASPERMONT LIMITED.,ASP,Media & Entertainment,
ASPIRE MINING LIMITED,AKM,Materials,
ASSETOWL LIMITED,AO1,Software & Services,
ASTIVITA LIMITED,AIR,Capital Goods,
ASTRO RESOURCES NL,ARO,Materials,
ASTRON CORPORATION LIMITED,ATR,Materials,
ASX LIMITED,ASX,Diversified Financials,
ATC ALLOYS LTD,ATA,Materials,
ATHENA RESOURCES LIMITED,AHN,Materials,
ATLAS ARTERIA,ALX,Transportation,
ATLAS PEARLS LTD,ATP,Consumer Durables & Apparel,
ATOMOS LIMITED,AMS,Consumer Durables & Apparel,
ATRUM COAL LIMITED,ATU,Materials,
AUB GROUP LIMITED,AUB,Insurance,
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA,Transportation,
AUCTUS ALTERNATIVE INVESTMENTS LIMITED,AVC,Diversified Financials,
AUDALIA RESOURCES LIMITED,ACP,Materials,
AUDINATE GROUP LIMITED,AD8,Technology Hardware & Equipment,
AUDIO PIXELS HOLDINGS LIMITED,AKP,Consumer Durables & Apparel,
AUKING MINING LIMITED,AKN,Materials,
AUMAKE INTERNATIONAL LIMITED,AU8,Retailing,
AURA ENERGY LIMITED,AEE,Energy,
AURELIA METALS LIMITED,AMI,Materials,
AURIS MINERALS LIMITED,AUR,Materials,
AURIZON HOLDINGS LIMITED,AZJ,Transportation,
AUROCH MINERALS LTD,AOU,Materials,
AURORA ABSOLUTE RETURN FUND,ABW,Not Applic,
AURORA GLOBAL INCOME TRUST,AIB,Diversified Financials,
AURORA LABS LIMITED,A3D,Capital Goods,
AURORA MINERALS LIMITED,ARM,Materials,
AURORA PROPERTY BUY-WRITE INCOME TRUST,AUP,Not Applic,
AUS ASIA MINERALS LIMITED,AQJ,Energy,
AUS TIN MINING LTD,ANW,Materials,
AUSCANN GROUP HOLDINGS LTD,AC8,"Pharmaceuticals, Biotechnology & Life Sciences",
AUSDRILL LIMITED,ASL,Materials,
AUSGOLD LIMITED,AUC,Materials,
AUSMEX MINING GROUP LIMITED,AMG,Materials,
AUSMON RESOURCES LIMITED,AOA,Materials,
AUSNET SERVICES HOLDINGS PTY LTD,ANV,Not Applic,
AUSNET SERVICES LIMITED,AST,Utilities,
AUSQUEST LIMITED,AQD,Materials,
AUSTAL LIMITED,ASB,Capital Goods,
AUSTAR GOLD LIMITED,AUL,Materials,
AUSTCHINA HOLDINGS LIMITED,AUH,Energy,
AUSTEX OIL LIMITED,AOK,Energy,
AUSTIN ENGINEERING LIMITED,ANG,Capital Goods,
AUSTPAC RESOURCES NL,APG,Materials,
AUSTRAL GOLD LIMITED,AGD,Materials,
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ,Banks,
AUSTRALIA UNITED MINING LIMITED,AYM,Materials,
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC,"Food, Beverage & Tobacco",
AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,AAP,"Food, Beverage & Tobacco",
AUSTRALIAN BAUXITE LIMITED.,ABX,Materials,
AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,XCL,Not Applic,
AUSTRALIAN DAIRY NUTRITIONALS GROUP,AHF,"Food, Beverage & Tobacco",
AUSTRALIAN ENHANCED INCOME FUND,AYF,Not Applic,
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF,Diversified Financials,
AUSTRALIAN FINANCE GROUP LTD,AFG,Banks,
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI,Not Applic,
AUSTRALIAN GOVERNANCE & ETHICAL INDEX FUND,AGM,Not Applic,
AUSTRALIAN INDUSTRIAL MINERALS LIMITED,AAM,Class Pend,
AUSTRALIAN LEADERS FUND LIMITED,ALF,Diversified Financials,
AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED,AYK,Not Applic,
AUSTRALIAN MASTERS YIELD FUND NO 5 LIMITED,AYZ,Not Applic,
AUSTRALIAN MINES LIMITED,AUZ,Materials,
AUSTRALIAN NUTRITION & SPORTS LIMITED,AN1,Class Pend,
AUSTRALIAN PACIFIC COAL LIMITED,AQC,Materials,
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API,Health Care Equipment & Services,
AUSTRALIAN POTASH LIMITED,APC,Materials,
AUSTRALIAN RURAL CAPITAL LIMITED,ARC,Diversified Financials,
AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,AUI,Diversified Financials,
AUSTRALIAN UNITY LIMITED,AYU,Not Applic,
AUSTRALIAN UNITY OFFICE FUND,AOF,Real Estate,
AUSTRALIAN VANADIUM LIMITED,AVL,Materials,
AUSTRALIAN VINTAGE LTD,AVG,"Food, Beverage & Tobacco",
AUSTRALIAN WHISKY HOLDINGS LIMITED,AWY,"Food, Beverage & Tobacco",
AUSTRALIS OIL & GAS LIMITED,ATS,Energy,
AUSTSINO RESOURCES GROUP LIMITED,ANS,Materials,
AUSWIDE BANK LTD,ABA,Banks,
AUTECO MINERALS LTD,AUT,Materials,
AUTHORISED INVESTMENT FUND LIMITED,AIY,Not Applic,
AUTOMOTIVE HOLDINGS GROUP LIMITED.,AHG,Retailing,
AUTOSPORTS GROUP LIMITED.,ASG,Retailing,
AVA RISK GROUP LIMITED,AVA,Technology Hardware & Equipment,
AVENIRA LIMITED,AEV,Materials,
AVENTUS GROUP,AVN,Real Estate,
AVEO GROUP,AOG,Real Estate,
AVIRA RESOURCES LTD,AVW,Materials,
AVITA MEDICAL LTD,AVH,"Pharmaceuticals, Biotechnology & Life Sciences",
AVJENNINGS LIMITED,AVJ,Real Estate,
AVZ MINERALS LIMITED,AVZ,Materials,
AXIOM MINING LIMITED,AVQ,Materials,
AXIOM PROPERTIES LIMITED,AXI,Real Estate,
AXS GROUP LIMITED,AXS,Software & Services,
AXSESSTODAY LIMITED,AXL,Diversified Financials,
AXXIS TECHNOLOGY GROUP LTD,AYG,Software & Services,
AZUMAH RESOURCES LIMITED,AZM,Materials,
AZURE HEALTH TECHNOLOGY LIMITED,AZT,Software & Services,
AZURE HEALTHCARE LIMITED,AZV,Health Care Equipment & Services,
AZURE MINERALS LIMITED,AZS,Materials,
BABY BUNTING GROUP LIMITED,BBN,Retailing,
BABYLON PUMP & POWER LIMITED,BPP,Capital Goods,
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI,Diversified Financials,
BANK OF QUEENSLAND LIMITED.,BOQ,Banks,
BANNERMAN RESOURCES LIMITED,BMN,Energy,
BAPCOR LIMITED,BAP,Retailing,
BARD1 LIFE SCIENCES LIMITED,BD1,Class Pend,
BARDOC GOLD LIMITED,BDC,Materials,
BARRA RESOURCES LIMITED,BAR,Materials,
BARRACK ST INVESTMENTS LIMITED,BST,Not Applic,
BASE RESOURCES LIMITED,BSE,Materials,
BASS METALS LTD,BSM,Materials,
BASS OIL LIMITED,BAS,Energy,
BASSARI RESOURCES LIMITED,BSR,Materials,
BATHURST RESOURCES LIMITED.,BRL,Materials,
BATTERY MINERALS LIMITED,BAT,Materials,
BAUMART HOLDINGS LIMITED,BMH,Capital Goods,
BAUXITE RESOURCES LIMITED,BAU,Materials,
BBX MINERALS LIMITED,BBX,Materials,
BCI MINERALS LIMITED,BCI,Materials,
BEACH ENERGY LIMITED,BPT,Energy,
BEACON LIGHTING GROUP LIMITED,BLX,Retailing,
BEACON MINERALS LIMITED,BCN,Materials,
BEAM COMMUNICATIONS HOLDINGS LIMITED,BCC,Technology Hardware & Equipment,
BEGA CHEESE LIMITED,BGA,"Food, Beverage & Tobacco",
BELL FINANCIAL GROUP LIMITED,BFG,Diversified Financials,
BELLAMY'S AUSTRALIA LIMITED,BAL,"Food, Beverage & Tobacco",
BELLEVUE GOLD LIMITED,BGL,Materials,
BENDIGO AND ADELAIDE BANK LIMITED,BEN,Banks,
BENITEC BIOPHARMA LIMITED,BLT,"Pharmaceuticals, Biotechnology & Life Sciences",
BENJAMIN HORNIGOLD LIMITED,BHD,Not Applic,
BENTLEY CAPITAL LIMITED,BEL,Diversified Financials,
BERKELEY ENERGIA LIMITED,BKY,Energy,
BERKUT MINERALS LIMITED,BMT,Materials,
BESTON GLOBAL FOOD COMPANY LIMITED,BFC,"Food, Beverage & Tobacco",
BEYOND INTERNATIONAL LIMITED,BYI,Media & Entertainment,
BHP GROUP LIMITED,BHP,Materials,
BIDENERGY LIMITED,BID,Software & Services,
BIG RIVER INDUSTRIES LIMITED,BRI,Materials,
BIG STAR ENERGY LIMITED,BNL,Energy,
BIGTINCAN HOLDINGS LIMITED,BTH,Software & Services,
BINGO INDUSTRIES LIMITED,BIN,Commercial & Professional Services,
BIO-GENE TECHNOLOGY LTD,BGT,Materials,
BIONOMICS LIMITED,BNO,"Pharmaceuticals, Biotechnology & Life Sciences",
BIOTRON LIMITED,BIT,"Pharmaceuticals, Biotechnology & Life Sciences",
BIOXYNE LIMITED,BXN,"Pharmaceuticals, Biotechnology & Life Sciences",
BIR FINANCIAL LIMITED,BIR,Diversified Financials,
BIRIMIAN LIMITED,BGS,Materials,
BISALLOY STEEL GROUP LIMITED,BIS,Materials,
BISAN LIMITED,BSN,Diversified Financials,
BKI INVESTMENT COMPANY LIMITED,BKI,Diversified Financials,
BKM MANAGEMENT LIMITED,BKM,Commercial & Professional Services,
BLACK CAT SYNDICATE LIMITED,BC8,Materials,
BLACK DRAGON GOLD CORP.,BDG,Materials,
BLACK ROCK MINING LIMITED,BKT,Materials,
BLACK STAR PETROLEUM LIMITED,BSP,Energy,
BLACKEARTH MINERALS NL,BEM,Materials,
BLACKHAM RESOURCES LIMITED,BLK,Materials,
BLACKMORES LIMITED,BKL,Household & Personal Products,
BLACKSTONE MINERALS LIMITED,BSX,Materials,
BLACKWALL LIMITED,BWF,Diversified Financials,
BLACKWALL PROPERTY TRUST,BWR,Real Estate,
BLAZE INTERNATIONAL LIMITED,BLZ,Energy,
BLIGH RESOURCES LIMITED,BGH,Materials,
BLINA MINERALS NL,BDI,Materials,
BLUE ENERGY LIMITED,BUL,Energy,
BLUE SKY ALTERNATIVE INVESTMENTS LIMITED,BLA,Diversified Financials,
BLUE SKY ALTERNATIVES ACCESS FUND LIMITED,BAF,Not Applic,
BLUECHIIP LIMITED,BCT,Technology Hardware & Equipment,
BLUESCOPE STEEL LIMITED,BSL,Materials,
BLUGLASS LIMITED,BLG,Semiconductors & Semiconductor Equipment,
BMG RESOURCES LIMITED,BMG,Materials,
BOADICEA RESOURCES LIMITED,BOA,Materials,
BOART LONGYEAR LIMITED,BLY,Capital Goods,
BOD AUSTRALIA LIMITED,BDA,Retailing,
BOJUN AGRICULTURE HOLDINGS LIMITED,BAH,"Food, Beverage & Tobacco",
BOOM LOGISTICS LIMITED,BOL,Capital Goods,
BORA BORA RESOURCES LIMITED,BBR,Materials,
BORAL LIMITED.,BLD,Materials,
BOSS RESOURCES LIMITED,BOE,Materials,
BOTANIX PHARMACEUTICALS LTD,BOT,"Pharmaceuticals, Biotechnology & Life Sciences",
BOUGAINVILLE COPPER LIMITED,BOC,Materials,
BOUNTY MINING LIMITED,B2Y,Materials,
BOUNTY OIL & GAS NL,BUY,Energy,
BOWEN COKING COAL LIMITED,BCB,Materials,
BOYUAN HOLDINGS LIMITED,BHL,Real Estate,
BP CAPITAL MARKETS PLC,BPB,Not Applic,
BPH ENERGY LTD,BPH,"Pharmaceuticals, Biotechnology & Life Sciences",
BRAINCHIP HOLDINGS LTD,BRN,Software & Services,
BRAMBLES LIMITED,BXB,Commercial & Professional Services,
BRAVURA SOLUTIONS LIMITED.,BVS,Software & Services,
BREAKER RESOURCES NL,BRB,Materials,
BREVILLE GROUP LIMITED,BRG,Retailing,
BRICKWORKS LIMITED,BKW,Materials,
BRISBANE BRONCOS LIMITED,BBL,Media & Entertainment,
BRISCOE GROUP AUSTRALASIA LIMITED,BGP,Retailing,
BROCKMAN MINING LIMITED,BCK,Materials,
BROKEN HILL PROSPECTING LIMITED,BPL,Materials,
BRONSON GROUP LIMITED,BGR,Diversified Financials,
BROO LTD,BEE,"Food, Beverage & Tobacco",
BROOKSIDE ENERGY LIMITED,BRK,Energy,
BRYAH RESOURCES LIMITED,BYH,Materials,
BSA LIMITED,BSA,Commercial & Professional Services,
BTC HEALTH LTD,BTC,Not Applic,
BUBS AUSTRALIA LIMITED,BUB,"Food, Beverage & Tobacco",
BUDDY PLATFORM LTD,BUD,Software & Services,
BUDERIM GROUP LIMITED,BUG,"Food, Beverage & Tobacco",
"BUILDINGIQ, INC",BIQ,Software & Services,
BULLETIN RESOURCES LIMITED,BNR,Materials,
BUNJI CORPORATION LIMITED,BCL,Energy,
BURU ENERGY LIMITED,BRU,Energy,
BUXTON RESOURCES LIMITED,BUX,Materials,
BUYMYPLACE.COM.AU LIMITED,BMP,Real Estate,
BWP TRUST,BWP,Real Estate,
BWX LIMITED,BWX,Household & Personal Products,
BYRON ENERGY LIMITED,BYE,Energy,
BYTE POWER GROUP LIMITED,BPG,Retailing,
CADENCE CAPITAL LIMITED,CDM,Not Applic,
CAENEUS MINERALS LTD,CAD,Materials,
CAISSE FRANCAISE DE FINANCEMENT LOCAL,DXA,Not Applic,
CALIDUS RESOURCES LIMITED,CAI,Materials,
CALIMA ENERGY LIMITED,CE1,Energy,
CALIX LIMITED,CXL,Materials,
CALTEX AUSTRALIA LIMITED,CTX,Energy,
CANDY CLUB HOLDINGS LIMITED,CLB,Food & Staples Retailing,
CANN GLOBAL LIMITED,CGB,Materials,
CANN GROUP LIMITED,CAN,"Pharmaceuticals, Biotechnology & Life Sciences",
CANNINDAH RESOURCES LIMITED,CAE,Materials,
CANNPAL ANIMAL THERAPEUTICS LIMITED,CP1,"Pharmaceuticals, Biotechnology & Life Sciences",
CANTERBURY RESOURCES LIMITED,CBY,Materials,
CANYON RESOURCES LIMITED,CAY,Materials,
CAPE LAMBERT RESOURCES LIMITED,CFE,Materials,
CAPE RANGE LTD,CAG,Software & Services,
CAPITOL HEALTH LIMITED,CAJ,Health Care Equipment & Services,
CAPRAL LIMITED,CAA,Materials,
CAPRICE RESOURCES LTD,CRS,Materials,
CAPRICORN METALS LTD,CMM,Materials,
CAQ HOLDINGS LIMITED,CAQ,Real Estate,
CARAVEL MINERALS LIMITED,CVV,Materials,
CARAWINE RESOURCES LIMITED,CWX,Materials,
CARBINE RESOURCES LIMITED,CRB,Materials,
CARBON ENERGY LIMITED,CNX,Energy,
CARBON MINERALS LIMITED,CRM,Energy,
CARBONXT GROUP LIMITED,CG1,Materials,
CARDIEX LIMITED,CDX,Health Care Equipment & Services,
CARDINAL RESOURCES LIMITED,CDV,Materials,
CARDNO LIMITED,CDD,Capital Goods,
CARINDALE PROPERTY TRUST,CDP,Real Estate,
CARLTON INVESTMENTS LIMITED,CIN,Diversified Financials,
CARNARVON PETROLEUM LIMITED,CVN,Energy,
CARNAVALE RESOURCES LIMITED,CAV,Materials,
CARNEGIE CLEAN ENERGY LIMITED,CCE,Utilities,
CARPENTARIA RESOURCES LTD,CAP,Materials,
CARSALES.COM LIMITED.,CAR,Media & Entertainment,
CASH CONVERTERS INTERNATIONAL,CCV,Retailing,
CASSINI RESOURCES LIMITED,CZI,Materials,
CASSIUS MINING LIMITED,CMD,Materials,
CASTILLO COPPER LIMITED,CCZ,Materials,
CASTLE MINERALS LIMITED,CDT,Materials,
CATALYST METALS LIMITED,CYL,Materials,
CATAPULT GROUP INTERNATIONAL LTD,CAT,Technology Hardware & Equipment,
CAULDRON ENERGY LIMITED,CXU,Energy,
CAZALY RESOURCES LIMITED,CAZ,Materials,
CBG CAPITAL LIMITED,CBC,Not Applic,
CBL CORPORATION LIMITED,CBL,Insurance,
CCP TECHNOLOGIES LIMITED,CT1,Technology Hardware & Equipment,
CEDAR WOODS PROPERTIES LIMITED,CWP,Real Estate,
CELAMIN HOLDINGS LIMITED,CNL,Materials,
CELLMID LIMITED,CDY,"Pharmaceuticals, Biotechnology & Life Sciences",
CELLNET GROUP LIMITED,CLT,Technology Hardware & Equipment,
CELSIUS RESOURCES LIMITED.,CLA,Materials,
CENTAURUS METALS LIMITED,CTM,Materials,
CENTENNIAL MINING LIMITED,CTL,Materials,
CENTRAL PETROLEUM LIMITED,CTP,Energy,
CENTREPOINT ALLIANCE LIMITED,CAF,Diversified Financials,
CENTREX METALS LIMITED,CXM,Materials,
CENTURIA CAPITAL GROUP,CNI,Diversified Financials,
CENTURIA INDUSTRIAL REIT,CIP,Real Estate,
CENTURIA METROPOLITAN REIT,CMA,Real Estate,
CERVANTES CORPORATION LIMITED,CVS,Materials,
CFOAM LIMITED,CFO,Capital Goods,
CHALICE GOLD MINES LIMITED,CHN,Materials,
CHALLENGER ENERGY LIMITED,CEL,Energy,
CHALLENGER LIMITED,CGF,Diversified Financials,
CHALLENGER MILLENNIUM SERIES 2007-1E TRUST,CHJ,Not Applic,
CHALLENGER MILLENNIUM SERIES 2007-2L TRUST,CHU,Not Applic,
CHALMERS LIMITED,CHR,Transportation,
CHAMPION IRON LIMITED,CIA,Materials,
